"name","types","number","percent"
"Biobase","PROM→INT",1034,0.120667522464698
"Biobase","VEC→VEC",1024,0.119500525148792
"Biobase","LANG→VEC",1002,0.116933131053799
"Biobase","SYM→INT",943,0.110047846889952
"Biobase","LANG→CLOS",881,0.102812463531334
"Biobase","NIL→NA",632,0.0737542303652702
"Biobase","ENV→ENV",621,0.0724705333177734
"Biobase","SYM→REAL",620,0.0723538335861827
"Biobase","LANG→LGL",617,0.0720037343914109
"Biobase","PROM→VEC",601,0.070136538685961
"Biobase","REAL→NA",430,0.0501808845839655
"Biobase","PROM→STR",428,0.0499474851207842
"Biobase","INT→NA",398,0.0464464931730657
"Biobase","SYM→LGL",335,0.0390944100828568
"Biobase","BCODE→BCODE",283,0.0330260240401447
"Biobase","BCODE→LIST",247,0.0288248337028825
"Biobase","LANG→NIL",228,0.0266075388026608
"Biobase","BCODE→SPECIAL",227,0.0264908390710701
"Biobase","PROM→CLOS",199,0.0232232465865328
"Biobase","SYM→NIL",134,0.0156377640331427
"Biobase","PROM→S4",38,0.00443458980044346
"Biobase","SYM→LANG",38,0.00443458980044346
"Biobase","PROM→LGL",37,0.00431789006885284
"Biobase","SYM→SYM",37,0.00431789006885284
"Biobase","BCODE→EXTPTR",26,0.00303419302135605
"Biobase","PROM→LANG",20,0.00233399463181235
"Biobase","PROM→NIL",13,0.00151709651067803
"Biobase","S4→S4",13,0.00151709651067803
"Biobase","PROM→REAL",12,0.00140039677908741
"Biobase","PROM→EXTPTR",8,0.000933597852724939
"Biobase","SYM→BUILTIN",6,0.000700198389543704
"Biobase","LANG→EXTPTR",4,0.000466798926362469
"Biobase","BCODE→EXPR",3,0.000350099194771852
"Biobase","LANG→BUILTIN",3,0.000350099194771852
"Biobase","PROM→ENV",3,0.000350099194771852
"Biobase","SYM→EXTPTR",2,0.000233399463181235
"Biobase","PROM→BUILTIN",1,0.000116699731590617
"Biobase","PROM→SPECIAL",1,0.000116699731590617
"Biobase","SYM→SPECIAL",1,0.000116699731590617
"Biostrings","BCODE→STR",455733,34.8585489429989
"Biostrings","BCODE→ENV",154096,11.7866447194308
"Biostrings","LANG→NA",149940,11.4687565493683
"Biostrings","LGL→LGL",116425,8.90522863318795
"Biostrings","STR→STR",103670,7.92961178786854
"Biostrings","BCODE→CLOS",69795,5.33854784155768
"Biostrings","BCODE→NA",66689,5.10097309270922
"Biostrings","BCODE→VEC",22669,1.73392851952534
"Biostrings","SYM→NA",22634,1.73125140548487
"Biostrings","STR→NA",21004,1.60657438017161
"Biostrings","LGL→NA",18647,1.42628987178918
"Biostrings","BCODE→LANG",12673,0.969344749567455
"Biostrings","LANG→ENV",12223,0.934924711904285
"Biostrings","NIL→NIL",11106,0.849486529527038
"Biostrings","LANG→STR",8898,0.68059887805975
"Biostrings","INT→INT",7090,0.542306815626391
"Biostrings","BCODE→NIL",5598,0.428185268529836
"Biostrings","BCODE→LGL",4882,0.373419164159103
"Biostrings","BCODE→SYM",4671,0.357279990943706
"Biostrings","PROM→NA",4437,0.339381571358857
"Biostrings","BCODE→INT",4233,0.323777820951553
"Biostrings","BCODE→BUILTIN",3638,0.278266882263584
"Biostrings","BCODE→S4",3287,0.251419252886311
"Biostrings","BCODE→REAL",2385,0.182426199614802
"Biostrings","LANG→S4",2367,0.181049398108275
"Biostrings","LANG→INT",2315,0.177071971533864
"Biostrings","REAL→REAL",2122,0.162309599824993
"Biostrings","LANG→LANG",1937,0.148159139896801
"Biostrings","LANG→CLOS",1667,0.127507117298899
"Biostrings","SYM→S4",1626,0.124371069422921
"Biostrings","SYM→CLOS",1239,0.094769837032595
"Biostrings","SYM→STR",992,0.0758770608041439
"Biostrings","CLOS→CLOS",951,0.0727410129281661
"Biostrings","SYM→LGL",889,0.0679986966279072
"Biostrings","LANG→SYM",784,0.0599673545065008
"Biostrings","SYM→INT",557,0.0426043577297461
"Biostrings","SYM→ENV",439,0.0335786589647371
"Biostrings","LANG→LGL",385,0.0294482544451566
"Biostrings","ENV→ENV",319,0.0243999822545584
"Biostrings","NIL→NA",292,0.0223347799947682
"Biostrings","LANG→VEC",254,0.0194281990365449
"Biostrings","LANG→NIL",221,0.0169040629412458
"Biostrings","VEC→NA",204,0.0156037504073038
"Biostrings","SYM→NIL",191,0.0146093937637011
"Biostrings","SYM→VEC",146,0.0111673899973841
"Biostrings","BCODE→SPECIAL",144,0.0110144120522144
"Biostrings","VEC→VEC",141,0.01078494513446
"Biostrings","BCODE→LIST",140,0.0107084561618751
"Biostrings","BCODE→BCODE",119,0.00910218773759387
"Biostrings","SYM→REAL",89,0.0068075185600492
"Biostrings","PROM→LANG",74,0.00566018397127686
"Biostrings","PROM→STR",74,0.00566018397127686
"Biostrings","PROM→NIL",48,0.00367147068407148
"Biostrings","PROM→INT",34,0.00260062506788396
"Biostrings","PROM→CLOS",29,0.00221818020495985
"Biostrings","LANG→REAL",28,0.00214169123237503
"Biostrings","PROM→LGL",28,0.00214169123237503
"Biostrings","SYM→SPECIAL",20,0.00152977945169645
"Biostrings","SYM→EXTPTR",19,0.00145329047911163
"Biostrings","PROM→S4",17,0.00130031253394198
"Biostrings","S4→S4",10,0.000764889725848224
"Biostrings","INT→NA",9,0.000688400753263402
"Biostrings","BCODE→EXPR",8,0.00061191178067858
"Biostrings","LANG→EXTPTR",8,0.00061191178067858
"Biostrings","BCODE→RAW",4,0.00030595589033929
"Biostrings","PROM→VEC",4,0.00030595589033929
