"name","no.of.force.orders","number","calls","percent","percent.calls"
"annotate","0",431,NA,34.4249201277955,NA
"annotate","1",657,423223,52.4760383386581,19.4257684052825
"annotate","2",102,233392,8.14696485623003,10.7126005430841
"annotate","3",33,115594,2.63578274760383,5.30571890714877
"annotate","4",14,4484,1.11821086261981,0.205813827531317
"annotate","5",3,17813,0.23961661341853,0.817609658745619
"annotate","6",4,21565,0.319488817891374,0.98982497562731
"annotate","7",2,1734,0.159744408945687,0.0795899145716557
"annotate","9",2,698,0.159744408945687,0.0320379240893977
"annotate","10",1,2033,0.0798722044728434,0.0933138963807244
"annotate",">10",3,28462,0.23961661341853,1.30639454933014
"Biobase","0",554,NA,37.7899045020464,NA
"Biobase","1",707,199658,48.2264665757162,18.9544115538957
"Biobase","2",141,99317,9.61800818553888,9.42859936640784
"Biobase","3",30,41495,2.04638472032742,3.93930274483818
"Biobase","4",14,3533,0.954979536152797,0.335403219605092
"Biobase","5",7,9413,0.477489768076398,0.893617465650362
"Biobase","6",5,8403,0.34106412005457,0.797733726108573
"Biobase","7",1,2020,0.0682128240109141,0.191767479083579
"Biobase","8",1,125,0.0682128240109141,0.0118667994482413
"Biobase","9",1,125,0.0682128240109141,0.0118667994482413
"Biobase","10",1,13706,0.0682128240109141,1.30117082590076
"Biobase",">10",4,1116,0.272851296043656,0.105946785473898
"Biostrings","0",410,NA,37.1376811594203,NA
"Biostrings","1",548,313934,49.6376811594203,21.7019120362401
"Biostrings","2",98,168064,8.8768115942029,11.6180794194278
"Biostrings","3",25,18593,2.26449275362319,1.28531363436204
"Biostrings","4",11,72061,0.996376811594203,4.98149764996305
"Biostrings","5",7,12965,0.634057971014493,0.896256186172423
"Biostrings","6",3,12540,0.271739130434783,0.866876403748722
"Biostrings","9",2,16319,0.181159420289855,1.12811451617029
"caschrono","0",506,NA,42.9906542056075,NA
"caschrono","1",545,225787,46.304163126593,23.5241349850491
"caschrono","2",89,96631,7.56159728122345,10.0677217365937
"caschrono","3",24,56928,2.03908241291419,5.93117387816339
"caschrono","4",3,578,0.254885301614274,0.0602202519248601
"caschrono","5",5,10813,0.424808836023789,1.12657713505798
"caschrono","6",3,8158,0.254885301614274,0.849959887894479
"caschrono","9",1,892,0.0849617672047579,0.092935060063971
"caschrono","10",1,8901,0.0849617672047579,0.927371042185433
"colorspace","0",640,NA,39.5061728395062,NA
"colorspace","1",785,348102,48.4567901234568,15.7591868831441
"colorspace","2",125,217242,7.71604938271605,9.83492561625039
"colorspace","3",40,37526,2.46913580246914,1.69886770824892
"colorspace","4",16,13491,0.987654320987654,0.610761185630928
"colorspace","5",6,19767,0.37037037037037,0.894886691599329
"colorspace","6",3,15442,0.185185185185185,0.699086370803705
"colorspace","7",2,56659,0.123456790123457,2.56505211004838
"colorspace","8",1,1976,0.0617283950617284,0.0894569789346018
"colorspace","9",1,1579,0.0617283950617284,0.0714840939968301
"colorspace",">10",1,1479,0.0617283950617284,0.0669569189495324
"copula","0",547,NA,46.3166807790008,NA
"copula","1",498,548840,42.1676545300593,25.4857519118725
"copula","2",81,102896,6.85859441151566,4.77804447329647
"copula","3",24,55732,2.03217612193057,2.58795263747628
"copula","4",9,2066,0.762066045723963,0.0959360896617022
"copula","5",10,26426,0.846740050804403,1.22710895711527
"copula","6",4,6304,0.338696020321761,0.292730449771235
"copula","7",4,84,0.338696020321761,0.00390059609466747
"copula","8",1,653,0.0846740050804403,0.0303224910692602
"copula","9",2,8024,0.169348010160881,0.37259979837633
"copula","10",1,20,0.0846740050804403,0.000928713355873207
"dplyr","0",480,NA,32.4105334233626,NA
"dplyr","1",847,377574,57.1910871033086,21.5048141408446
"dplyr","2",111,105260,7.4949358541526,5.99510754571369
"dplyr","3",24,20587,1.62052667116813,1.17253732703408
"dplyr","4",9,4945,0.607697501688049,0.281643614037186
"dplyr","5",4,4024,0.270087778528022,0.22918784689295
"dplyr","6",4,4258,0.270087778528022,0.242515370792788
"dplyr","7",1,651,0.0675219446320054,0.0370778549521149
"dplyr","10",1,11817,0.0675219446320054,0.673039956941846
"ggplot2","0",400,NA,40.8163265306122,NA
"ggplot2","1",479,69690,48.8775510204082,17.5561019357309
"ggplot2","2",70,25853,7.14285714285714,6.51281250314896
"ggplot2","3",14,3071,1.42857142857143,0.773637380465341
"ggplot2","4",7,2255,0.714285714285714,0.568073035802457
"ggplot2","5",4,762,0.408163265306122,0.191960821854311
"ggplot2","6",3,1827,0.306122448979592,0.460252521690061
"ggplot2","7",1,666,0.102040816326531,0.167776781305737
"ggplot2","8",1,6724,0.102040816326531,1.69389050675642
"ggplot2",">10",1,202,0.102040816326531,0.0508872519876258
"grid","0",452,NA,38.6324786324786,NA
"grid","1",550,444777,47.008547008547,22.7282111134844
"grid","2",88,131591,7.52136752136752,6.72433158332047
"grid","3",33,31976,2.82051282051282,1.63398125030021
"grid","4",11,70222,0.94017094017094,3.58836100070621
"grid","5",12,13063,1.02564102564103,0.667522425339995
"grid","6",8,4138,0.683760683760684,0.211452790021963
"grid","7",5,18022,0.427350427350427,0.920928511787292
"grid","8",5,8631,0.427350427350427,0.441046164978144
"grid",">10",6,3770,0.512820512820513,0.192647901977477
"lmtest","0",429,NA,43.8650306748466,NA
"lmtest","1",453,37388,46.319018404908,21.5076278791505
"lmtest","2",67,10796,6.85071574642127,6.21045122989484
"lmtest","3",20,2744,2.04498977505112,1.5784992751789
"lmtest","4",3,856,0.306748466257669,0.492418141236568
"lmtest","5",3,1421,0.306748466257669,0.817437124646218
"lmtest","6",2,2467,0.204498977505112,1.41915368508249
"lmtest","7",1,241,0.102249488752556,0.138636415932258
"mvtnorm","0",410,NA,47.1264367816092,NA
"mvtnorm","1",399,62125,45.8620689655172,19.6034192780893
"mvtnorm","2",46,18846,5.28735632183908,5.94681754068203
"mvtnorm","3",6,2161,0.689655172413793,0.681899220280901
"mvtnorm","4",6,3352,0.689655172413793,1.05771688402664
"mvtnorm","5",2,7337,0.229885057471264,2.31517564979221
"mvtnorm","6",1,856,0.114942528735632,0.270109084942365
"rivr","0",344,NA,38.4787472035794,NA
